"No.","Protocol","Direction","CAN length","Time","CAN id","CAN message","Info"
"206","CAN","Broadcast","8","0.297000","0x329","4f787c0a1131000a","STD: 0x00000329   4f 78 7c 0a 11 31 00 0a"
"207","CAN","Broadcast","8","0.297000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"208","CAN","Broadcast","8","0.297000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"209","CAN","Broadcast","8","0.297000","0x260","00ffff0000005f2e","STD: 0x00000260   00 ff ff 00 00 00 5f 2e"
"210","CAN","Broadcast","8","0.297000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"211","CAN","Broadcast","8","0.297000","0x2a0","4000750000000000","STD: 0x000002a0   40 00 75 00 00 00 00 00"
"212","CAN","Broadcast","8","0.297000","0x329","4f787c0a1131000a","STD: 0x00000329   4f 78 7c 0a 11 31 00 0a"
"213","CAN","Broadcast","8","0.297000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"214","CAN","Broadcast","8","0.297000","0x2c0","3d00000000000000","STD: 0x000002c0   3d 00 00 00 00 00 00 00"
"215","CAN","Broadcast","8","0.312000","0x580","0000000000000000","STD: 0x00000580   00 00 00 00 00 00 00 00"
"216","CAN","Broadcast","8","0.312000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"217","CAN","Broadcast","8","0.312000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"218","CAN","Broadcast","8","0.312000","0x260","00ffff0000005f3d","STD: 0x00000260   00 ff ff 00 00 00 5f 3d"
"219","CAN","Broadcast","8","0.312000","0x2a0","e000750000000000","STD: 0x000002a0   e0 00 75 00 00 00 00 00"
